"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"43",0.000288327505445955,3.36727039955705,0.286,0.139,1,"8","Dpagt1"
"44",0.00150463262083622,3.24488802251014,0.337,0.191,1,"8","Cdc42bpa"
"45",2.96190426766513e-07,3.22403347334084,0.827,0.522,0.00910815181349706,"8","Gna11"
"46",2.63508821819474e-07,5.80859477406181,0.094,0.477,0.00810315977977066,"9","Bcat2"
"47",1.17856319424939e-05,4.79298898257871,0.266,0.66,0.36241996786363,"9","Kansl2"
"48",4.55073013859621e-08,4.77559619826806,0.047,0.416,0.00139939502491972,"9","Haus2"
"49",1.36461854314995e-13,4.76570899045934,0.812,0.883,4.19633848204043e-09,"9","Atp5md"
"50",5.29733791835773e-12,4.56123788582749,0.094,0.599,1.62898438327419e-07,"9","Zfp985"
"51",7.60287538542605e-07,4.12293141049241,0.079,0.396,0.0233796020977236,"10","Dnajc7"
"52",1.26820540066735e-05,3.93162954420184,0.111,0.404,0.389985842759216,"10","Ak1"
"53",0.00519084947312246,3.44982458922084,0.095,0.268,1,"10","Rad17"
"54",8.16985799784472e-06,3.29535494273845,0.079,0.366,0.251231303291723,"10","Cep170b"
"55",7.07188958323734e-41,3.22678559478642,1,0.531,2.17467676574131e-36,"10","Gm42842"
"56",2.53754071480579e-26,5.90336589401065,1,0.799,7.80319145209929e-22,"11","Mroh6"
"57",2.12442648529157e-25,5.71977212524248,1,0.932,6.5328238849201e-21,"11","Itsn1"
"58",1.17257954206788e-25,5.71944879878592,1,0.904,3.60579934981295e-21,"11","Gm14236"
"59",2.03184299905187e-26,5.64547072279647,1,0.749,6.2481204063844e-22,"11","Aopep"
"60",3.98795781876764e-27,5.61784235105709,1,0.674,1.22633690884924e-22,"11","Nudt11"
"61",0.0076280220733281,4.74357398350126,0.952,0.902,1,"12","Atp5a1"
"62",0.00774321764334474,4.25441344605985,0.905,0.575,1,"12","Ptn"
"63",0.00778886080994311,3.68441385914612,0.952,0.932,1,"12","Rpl3-ps1"
"64",0.000100440362496884,2.46962960331744,0.286,0.073,1,"12","Gm9230"
"65",0.00109651353395967,2.40267481599147,0.952,0.567,1,"12","Sap30l"
